Language_Type,Toxic_Word_or_Phrase,Context_or_Example_Sentence,Category_of_Toxicity
English,incel,What a incel,Hate Speech
Hybrid,,This is disappointing ga undi,Neutral
English,,I ate {food},Neutral
Hybrid,bugger doola lanja,I hate bugger doola lanjas,Sexual / Obscene
Hybrid,knobhead chetta na kodaka,You're such a knobhead chetta na kodaka,Abusive / Insult
Telugu,munda,munda bastard,Hate Speech
English,piss,Stop being a piss,Other
Telugu,bosudi,This is bosudi shit,Sexual / Obscene
Hybrid,balls erugu,You're such a balls erugu,Other
Hybrid,dumbass geviri gaadida,dumbass geviri gaadida bastard,Abusive / Insult
Hybrid,bully nee amma dengu,Fucking bully nee amma dengu,Harassment / Bullying
Hybrid,stalker pichchi kukka,Stop being a stalker pichchi kukka,Harassment / Bullying
Hybrid,bloody pooku,I hate bloody pookus,Other
English,supremacist,You're such a supremacist,Hate Speech
Hybrid,cunt chavu,cunt chavu bastard,Sexual / Obscene
Telugu,gaadida,Stop being a gaadida,Abusive / Insult
English,jerk,You are a jerk,Abusive / Insult
English,xenophobe,You are a xenophobe,Hate Speech
English,dick,You're such a dick,Sexual / Obscene
English,troll,You're such a troll,Harassment / Bullying
Hybrid,get lost chetta,You are a get lost chetta,Harassment / Bullying
Telugu,moya,Stop being a moya,Harassment / Bullying
Telugu,erugu,Fucking erugu,Other
Hybrid,bollocks gudda,Stop being a bollocks gudda,Sexual / Obscene
Hybrid,shut up doola lanja,What a shut up doola lanja,Harassment / Bullying
Hybrid,bellend moya,bellend moya bastard,Abusive / Insult
Hybrid,frig chetta,What a frig chetta,Other
Telugu,bosudi,You are a bosudi,Sexual / Obscene
Hybrid,get lost chavugottu,This is get lost chavugottu shit,Harassment / Bullying
Hybrid,fool chetta,fool chetta bastard,Abusive / Insult
Hybrid,balls erugu,Stop being a balls erugu,Other
Hybrid,bugger pichchi kukka,bugger pichchi kukka loser,Other
Telugu,lanja,lanja loser,Sexual / Obscene
Hybrid,tosser chetta,Fucking tosser chetta,Other
Hybrid,asshole doola lanja,You are a asshole doola lanja,Abusive / Insult
Hybrid,harass modda,You are a harass modda,Harassment / Bullying
English,fool,Stop being a fool,Abusive / Insult
Hybrid,moron yedava,This is moron yedava shit,Abusive / Insult
Telugu,kula gajji,Fucking kula gajji,Hate Speech
English,plonker,plonker bastard,Other
English,get lost,I hate get losts,Harassment / Bullying
English,prick,What a prick,Sexual / Obscene
English,,I'm worried about the book,Neutral
Hybrid,ass bosudi,ass bosudi bastard,Sexual / Obscene
Telugu,pichoda,You're such a pichoda,Abusive / Insult
Telugu,,Nenu the phone gurinchi worry ayyanu,Neutral
Telugu,kula gajji,This is kula gajji shit,Hate Speech
Telugu,,Nenu {city} lo untunnanu,Neutral
Hybrid,fuck off gudda dengu,Fucking fuck off gudda dengu,Harassment / Bullying
Hybrid,transphobe doola lanja,transphobe doola lanja loser,Hate Speech
Hybrid,karen munda,Go karen munda yourself,Hate Speech
Hybrid,stupid cheththa vedhava,You are a stupid cheththa vedhava,Abusive / Insult
Hybrid,misogynist vedhava,Go misogynist vedhava yourself,Hate Speech
English,berk,This is berk shit,Other
Hybrid,cock pooku,I hate cock pukus,Sexual / Obscene
Hybrid,bloody picchi,This is bloody picchi shit,Other
English,go to hell,Go go to hell yourself,Harassment / Bullying
Hybrid,nazi kula gajji,nazi kula gajji loser,Hate Speech
Telugu,chetta,Go chetta yourself,Other
English,shut up,Fucking shut up,Harassment / Bullying
English,dox,dox loser,Harassment / Bullying
Telugu,,Nenu {thing} kosam excite ayyanu,Neutral
Hybrid,racist chavugottu,You're such a racist chavugottu,Hate Speech
English,incel,This is incel shit,Hate Speech
English,,The book is about {topic},Neutral
Hybrid,,I disagree with that {person},Neutral
English,xenophobe,I hate xenophobes,Hate Speech
Hybrid,frig gudda,I hate frig guddas,Other
Hybrid,dox chavugottu,Go dox chavugottu yourself,Harassment / Bullying
Hybrid,pillock vedhava,What a pillock vedhava,Other
English,piss,I hate pisss,Other
Telugu,munda,You are a munda,Hate Speech
Hybrid,sexist doola lanja,sexist doola lanja loser,Hate Speech
Hybrid,bellend erugu,bellend erugu bastard,Abusive / Insult
Hybrid,bigot pichoda,You are a bigot pichoda,Hate Speech
English,,I'm sad about the trip,Neutral
Hybrid,homophobe munda,This is homophobe munda shit,Hate Speech
Telugu,picchi,Go picchi yourself,Other
Telugu,munda,What a munda,Hate Speech
English,incel,incel bastard,Hate Speech
Telugu,vedhava,You are a vedhava,Other
Hybrid,berk picchi,I hate berk picchis,Other
Hybrid,sod vedhava,Go sod vedhava yourself,Other
English,stupid,You are a stupid,Abusive / Insult
English,asshole,You're such a asshole,Abusive / Insult
Hybrid,harass lanja munda,You're such a harass lanja munda,Harassment / Bullying
Telugu,,Nenu the colleague tho oppukonu,Neutral
Telugu,vedhava,What a vedhava,Other
English,knob,knob bastard,Sexual / Obscene
Hybrid,plonker picchi,You are a plonker picchi,Other
Telugu,,Nenu the vacation kosam excite ayyanu,Neutral
Hybrid,damn lanja munda,This is damn lanja munda shit,Other
Telugu,geviri gaadida,You are a geviri gaadida,Abusive / Insult
Telugu,doola lanja,doola lanja bastard,Hate Speech
Telugu,chetta na kodaka,You are a chetta na kodaka,Abusive / Insult
Hybrid,cock lanja,This is cock lanja shit,Sexual / Obscene
Hybrid,loser donga na kodaka,loser donga na kodaka loser,Abusive / Insult
Hybrid,anti-semite kula gajji,What a anti-semite kula gajji,Hate Speech
Hybrid,,Fantastic job chesaru,Neutral
Hybrid,troll gudda dengu,Go troll gudda dengu yourself,Harassment / Bullying
Telugu,chetta vedhava,This is chetta vedhava shit,Abusive / Insult
Telugu,gudda dengu,gudda dengu bastard,Harassment / Bullying
English,knobhead,This is knobhead shit,Abusive / Insult
English,frig,Go frig yourself,Other
English,,I ate salad,Neutral
Hybrid,hater lanja munda,You're such a hater lanja munda,Hate Speech
English,motherfucker,motherfucker bastard,Sexual / Obscene
English,hater,This is hater shit,Hate Speech
Hybrid,berk gudda,You're such a berk gudda,Other
Hybrid,pillock erugu,You're such a pillock erugu,Other
Hybrid,sexist nee amma,Stop being a sexist nee amma,Hate Speech
English,wanker,Go wanker yourself,Abusive / Insult
English,dipshit,Stop being a dipshit,Abusive / Insult
Telugu,vedhava,You're such a vedhava,Other
Telugu,,Ivvala {day},Neutral
Hybrid,hater lanja munda,I hate hater lanja mundas,Hate Speech
Hybrid,shut up moya,Fucking shut up moya,Harassment / Bullying
Hybrid,blowjob doola lanja,blowjob doola lanja loser,Sexual / Obscene
Hybrid,wanker erugu,Stop being a wanker erugu,Other
Telugu,picchi,You're such a picchi,Other
Hybrid,shag dengu,I hate shag dengus,Sexual / Obscene
English,bully,Stop being a bully,Harassment / Bullying
Telugu,,Enti oka kashtamaina roju,Neutral
Telugu,kula gajji,kula gajji loser,Hate Speech
Hybrid,cunt guddha naku,You are a cunt guddha naku,Sexual / Obscene
Hybrid,dick nee amma dengu,dick nee amma dengu bastard,Sexual / Obscene
Telugu,erugu,erugu loser,Other
Hybrid,fuck pedda salladhi,Stop being a fuck pedda salladhi,Sexual / Obscene
Hybrid,die gudda dengu,I hate die gudda dengus,Harassment / Bullying
English,bully,bully bastard,Harassment / Bullying
Hybrid,bully nee amma dengu,This is bully nee amma dengu shit,Harassment / Bullying
Hybrid,,The movie is romance type,Neutral
Telugu,erugu,You're such a erugu,Other
Telugu,cheththa vedhava,Go cheththa vedhava yourself,Abusive / Insult
English,,I dislike {activity},Neutral
Hybrid,fool chetta vedhava,You're such a fool chetta vedhava,Abusive / Insult
Telugu,pooku,Stop being a pooku,Sexual / Obscene
Telugu,erugu,Go erugu yourself,Other
Hybrid,bugger dengu,Stop being a bugger dengu,Sexual / Obscene
Hybrid,,The time is {time} o'clock,Neutral
Hybrid,berk vedhava,You're such a berk vedhava,Other
English,blowjob,I hate blowjobs,Sexual / Obscene
Telugu,gudda,gudda bastard,Sexual / Obscene
Hybrid,shut up nee amma dengu,shut up nee amma dengu bastard,Harassment / Bullying
English,piss off,You're such a piss off,Harassment / Bullying
Hybrid,threat chavu,What a threat chavu,Harassment / Bullying
Hybrid,,The book is about {topic} subject,Neutral
Hybrid,,The weather is {weather} now,Neutral
English,ass,You're such a ass,Sexual / Obscene
Hybrid,sod dengu,I hate sod dengus,Other
English,shit,Go shit yourself,Sexual / Obscene
Hybrid,shag cheththa vedhava,Go shag cheththa vedhava yourself,Sexual / Obscene
Hybrid,homophobe doola lanja,Fucking homophobe doola lanja,Hate Speech
Telugu,bosudi,What a bosudi,Sexual / Obscene
Hybrid,get lost chavugottu,What a get lost chavugottu,Harassment / Bullying
English,stupid,I hate stupids,Abusive / Insult
Hybrid,dipshit bosudi,dipshit bosudi loser,Abusive / Insult
English,hater,Fucking hater,Hate Speech
Telugu,,Weather {weather},Neutral
English,bloody,bloody bastard,Other
English,blowjob,Go blowjob yourself,Sexual / Obscene
Hybrid,dox nee amma dengu,You're such a dox nee amma dengu,Harassment / Bullying
Hybrid,bollocks vedhava,bollocks vedhava loser,Other
Hybrid,racist munda,Go racist munda yourself,Hate Speech
Hybrid,supremacist pichchi kukka,Go supremacist pichchi kukka yourself,Hate Speech
English,go to hell,What a go to hell,Harassment / Bullying
English,prick,prick bastard,Abusive / Insult
Hybrid,karen doola lanja,What a karen doola lanja,Hate Speech
English,pillock,I hate pillocks,Other
English,,Fantastic job,Neutral
Hybrid,,That's awesome bey,Neutral
Hybrid,,That's unfortunate bey,Neutral
Hybrid,bellend pooku,What a bellend pooku,Sexual / Obscene
English,kill yourself,kill yourself bastard,Harassment / Bullying
Telugu,guddha naku,You're such a guddha naku,Sexual / Obscene
Telugu,chavugottu,Stop being a chavugottu,Harassment / Bullying
English,,I don't like {subject},Neutral
English,cock,I hate cocks,Sexual / Obscene
Telugu,chavugottu,Go chavugottu yourself,Harassment / Bullying
English,threat,threat bastard,Harassment / Bullying
Hybrid,,I'm worried about future the project,Neutral
Hybrid,blowjob pooku,blowjob pooku loser,Sexual / Obscene
Hybrid,harass moya,Go harass moya yourself,Harassment / Bullying
Hybrid,homophobe munda,I hate homophobe mundas,Hate Speech
English,fool,fool bastard,Abusive / Insult
Telugu,doola lanja,What a doola lanja,Sexual / Obscene
Telugu,lanja munda,Stop being a lanja munda,Hate Speech
Hybrid,shag guddha naku,What a shag guddha naku,Sexual / Obscene
English,bastard,bastard loser,Abusive / Insult
Hybrid,shag doola lanja,What a shag doola lanja,Sexual / Obscene
English,incel,incel loser,Hate Speech
Hybrid,piss off chavu,Fucking piss off chavu,Harassment / Bullying
Hybrid,bastard puku,bastard puku loser,Abusive / Insult
Hybrid,,I'm happy about that {event},Neutral
Hybrid,bellend pandi vedhava,This is bellend pandi vedhava shit,Abusive / Insult
Hybrid,pussy gaadida,You're such a pussy gaadida,Sexual / Obscene
English,,I appreciate my friend,Neutral
English,plonker,I hate plonkers,Other
Telugu,pichoda,Fucking pichoda,Abusive / Insult
Hybrid,incel nee amma,incel nee amma bastard,Hate Speech
Hybrid,cyberbully nee amma dengu,You are a cyberbully nee amma dengu,Harassment / Bullying
English,stupid,You're such a stupid,Abusive / Insult
Telugu,gudda dengu,Fucking gudda dengu,Harassment / Bullying
Hybrid,shit bosudi,This is shit bosudi shit,Sexual / Obscene
Hybrid,numbskull picchi,You're such a numbskull picchi,Abusive / Insult
Hybrid,arse chetta,You are a arse chetta,Other
Hybrid,bigot nee amma,I hate bigot nee ammas,Hate Speech
Hybrid,crap chetta,Fucking crap chetta,Other
Telugu,erri pooka,Go erri pooka yourself,Sexual / Obscene
English,plonker,This is plonker shit,Other
Hybrid,bloody picchi,Fucking bloody picchi,Other
Hybrid,,I don't like this {subject},Neutral
Hybrid,hell dongana kodaka,You are a hell dongana kodaka,Other
English,piss,Go piss yourself,Other
English,go to hell,I hate go to hells,Harassment / Bullying
English,,I appreciate {person},Neutral
English,racist,racist loser,Hate Speech
Telugu,pooku,You're such a pooku,Sexual / Obscene
Hybrid,fuck off gudda dengu,You're such a fuck off gudda dengu,Harassment / Bullying
Hybrid,,I went to the {place} today,Neutral
English,bugger,You are a bugger,Other
Hybrid,anti-semite pichchi kukka,You're such a anti-semite pichchi kukka,Hate Speech
Hybrid,go to hell chavu,Go go to hell chavu yourself,Harassment / Bullying
English,cyberbully,You are a cyberbully,Harassment / Bullying
Telugu,bosudi,Stop being a bosudi,Sexual / Obscene
Hybrid,piss off nee amma dengu,You are a piss off nee amma dengu,Harassment / Bullying
Hybrid,,I'm sad about the the update,Neutral
Telugu,pandi vedhava,pandi vedhava loser,Abusive / Insult
Telugu,moya,Fucking moya,Harassment / Bullying
Hybrid,tosser erugu,You are a tosser erugu,Other
Hybrid,dick lanja,dick lanja loser,Sexual / Obscene
Telugu,,Nenu dancing enjoy chestunnanu,Neutral
Hybrid,cock lanja munda,Stop being a cock lanja munda,Sexual / Obscene
Telugu,nee amma dengu,You are a nee amma dengu,Harassment / Bullying
Hybrid,,I'm sad about the {event},Neutral
Hybrid,transphobe modda,Stop being a transphobe modda,Hate Speech
Telugu,vedhava,This is vedhava shit,Other
Telugu,kula gajji,Go kula gajji yourself,Hate Speech
Telugu,picchi,I hate picchis,Other
English,cock,cock bastard,Sexual / Obscene
English,bully,Go bully yourself,Harassment / Bullying
Telugu,chavugottu,chavugottu loser,Harassment / Bullying
Hybrid,homophobe kula gajji,You are a homophobe kula gajji,Hate Speech
Hybrid,fool erugu,You're such a fool erugu,Abusive / Insult
Hybrid,misogynist doola lanja,This is misogynist doola lanja shit,Hate Speech
Telugu,puku,Stop being a puku,Sexual / Obscene
English,sod,You're such a sod,Other
English,,This is great,Neutral
Hybrid,,The weather is snowy now,Neutral
Hybrid,bellend gaadida,You're such a bellend gaadida,Abusive / Insult
Hybrid,piss geviri gaadida,I hate piss geviri gaadidas,Other
Hybrid,,This makes me frown sometimes,Neutral
Hybrid,douchebag chetta vedhava,Fucking douchebag chetta vedhava,Abusive / Insult
English,incel,Go incel yourself,Hate Speech
English,knob,You are a knob,Sexual / Obscene
Telugu,dongana kodaka,dongana kodaka bastard,Abusive / Insult
Hybrid,loser guddha naku,You're such a loser guddha naku,Abusive / Insult
English,die,Go die yourself,Harassment / Bullying
Hybrid,stupid doola lanja,stupid doola lanja loser,Abusive / Insult
Telugu,chetta na kodaka,I hate chetta na kodakas,Abusive / Insult
English,git,This is git shit,Other
Hybrid,bully gudda dengu,You're such a bully gudda dengu,Harassment / Bullying
Hybrid,hater doola lanja,I hate hater doola lanjas,Hate Speech
Hybrid,hell gudda,hell gudda bastard,Other
English,twat,Stop being a twat,Sexual / Obscene
Hybrid,numpty doola lanja,What a numpty doola lanja,Other
Hybrid,asshole dongana kodaka,asshole dongana kodaka bastard,Abusive / Insult
English,dox,Fucking dox,Harassment / Bullying
Hybrid,idiot picchi,Stop being a idiot picchi,Abusive / Insult
English,prick,Fucking prick,Sexual / Obscene
Telugu,kula gajji,kula gajji bastard,Hate Speech
English,,I'm excited for {thing},Neutral
Telugu,vedhava,I hate vedhavas,Other
English, knob,You are a  knob,Sexual / Obscene
Telugu,nee amma dengu,Go nee amma dengu yourself,Sexual / Obscene
English,go to hell,You are a go to hell,Harassment / Bullying
Hybrid, knob lanja,You are a  knob lanja,Sexual / Obscene
English,karen,karen bastard,Hate Speech
Hybrid,bloody erugu,Stop being a bloody erugu,Other
Telugu,moya,You're such a moya,Harassment / Bullying
English,twat,You are a twat,Abusive / Insult
Telugu,gudda dengu,I hate gudda dengus,Harassment / Bullying
Telugu,cheththa vedhava,Fucking cheththa vedhava,Abusive / Insult
Hybrid,hell nee amma dengu,This is hell nee amma dengu shit,Other
Hybrid,sod chavugottu,sod chavugottu bastard,Other
English,kill yourself,Fucking kill yourself,Harassment / Bullying
Hybrid,hater munda,hater munda bastard,Hate Speech
Hybrid, knob doola lanja,You are a  knob doola lanja,Sexual / Obscene
Hybrid,fuck off nee amma dengu,What a fuck off nee amma dengu,Harassment / Bullying
Hybrid,numpty vedava,This is numpty vedava shit,Other
Telugu,doola lanja,I hate doola lanjas,Hate Speech
English,wank,wank bastard,Sexual / Obscene
Hybrid,hater nee amma,Fucking hater nee amma,Hate Speech
Hybrid,muppet erugu,What a muppet erugu,Other
Hybrid,,This makes me smile always,Neutral
English,supremacist,Stop being a supremacist,Hate Speech
Telugu,--,Nenu {event} gurinchi santosham ga unnanu,Neutral
Hybrid,islamophobe picchi,islamophobe picchi bastard,Hate Speech
Hybrid,knobhead donga na kodaka,Fucking knobhead donga na kodaka,Abusive / Insult
Hybrid,piss erugu,piss erugu bastard,Other
Telugu,yedava,You're such a yedava,Abusive / Insult
English,,I enjoy {activity},Neutral
English,die,You are a die,Harassment / Bullying
Telugu,doola lanja,You're such a doola lanja,Sexual / Obscene
Telugu,,Nenu {subject} istapadadam ledu,Neutral
Telugu,pandi vedhava,Fucking pandi vedhava,Abusive / Insult
Telugu,vedava,Fucking vedava,Abusive / Insult
Hybrid,shut up chavu,shut up chavu loser,Harassment / Bullying
Telugu,bosudi,I hate bosudis,Sexual / Obscene
English,bloody,Go bloody yourself,Other
Hybrid,arse picchi,arse picchi loser,Other
Telugu,chetta na kodaka,What a chetta na kodaka,Abusive / Insult
Hybrid,damn chetta,This is damn chetta shit,Other
English,sod,This is sod shit,Other
Hybrid,go to hell moya,go to hell moya bastard,Harassment / Bullying
English,sexist,Go sexist yourself,Hate Speech
English,cyberbully,What a cyberbully,Harassment / Bullying
English,nazi,Stop being a nazi,Hate Speech
Hybrid,motherfucker pedda salladhi,I hate motherfucker pedda salladhis,Sexual / Obscene
Hybrid,motherfucker modda,Stop being a motherfucker modda,Sexual / Obscene
Telugu,munda,I hate mundas,Hate Speech
English,crap,Go crap yourself,Other
Hybrid,die moya,Stop being a die moya,Harassment / Bullying
Hybrid,,Nenu {person} ni appreciate chestunnanu,Neutral
English,pussy,You're such a pussy,Sexual / Obscene
Hybrid,,The movie is horror type,Neutral
English,transphobe,Fucking transphobe,Hate Speech
Hybrid,go to hell lanja munda,What a go to hell lanja munda,Harassment / Bullying
Telugu,pandi vedhava,pandi vedhava bastard,Abusive / Insult
English,bollocks,bollocks bastard,Sexual / Obscene
Hybrid,piss off chavu,You are a piss off chavu,Harassment / Bullying
Telugu,addagadidha,addagadidha bastard,Abusive / Insult
Hybrid,wanker chavugottu,wanker chavugottu bastard,Abusive / Insult
Telugu,addagadidha,You're such a addagadidha,Abusive / Insult
Telugu,,Nenu {thing} gurinchi worry ayyanu,Neutral
Telugu,nee amma dengu,Fucking nee amma dengu,Harassment / Bullying
Telugu,pichchi kukka,You are a pichchi kukka,Hate Speech
Hybrid,cunt pedda salladhi,cunt pedda salladhi loser,Sexual / Obscene
English,shag,shag bastard,Sexual / Obscene
Hybrid,threat chavugottu,You're such a threat chavugottu,Harassment / Bullying
Hybrid,wanker vedhava,I hate wanker vedhavas,Other
Hybrid,nazi kula gajji,I hate nazi kula gajjis,Hate Speech
Hybrid,,The book is about literature subject,Neutral
Hybrid,knobhead nee amma dengu,knobhead nee amma dengu bastard,Abusive / Insult
Hybrid,bellend guddha naku,I hate bellend guddha nakus,Abusive / Insult
Hybrid,loser die gudda dengu,You are a loser die gudda dengu,Harassment / Bullying
Hybrid,misogynist kula gajji,Fucking misogynist kula gajji,Hate Speech
Hybrid,kill yourself chavugottu,Fucking kill yourself chavugottu,Harassment / Bullying
Hybrid,cock nee amma dengu,I hate cock nee amma dengus,Sexual / Obscene
English,stalker,I hate stalkers,Harassment / Bullying
Hybrid,nazi lanja munda,You are a nazi lanja munda,Hate Speech
Hybrid,douchebag dongana kodaka,This is douchebag dongana kodaka shit,Abusive / Insult
Hybrid,idiot gaadida,Go idiot gaadida yourself,Abusive / Insult
English,,I disagree with {person},Neutral
English,tosser,You are a tosser,Other
English,islamophobe,islamophobe bastard,Hate Speech
English,misogynist,misogynist bastard,Hate Speech
Telugu,erri pooka,erri pooka loser,Sexual / Obscene
Hybrid,shag bosudi,Go shag bosudi yourself,Sexual / Obscene
Hybrid,berk picchi,Go berk picchi yourself,Other
Telugu,vedava,What a vedava,Abusive / Insult
Telugu,,Nenu {person} tho oppukonu,Neutral
Hybrid,piss chetta,piss chetta bastard,Other
Hybrid,douchebag donga na kodaka,You are a douchebag donga na kodaka,Abusive / Insult
English,fuck off,fuck off bastard,Harassment / Bullying
English,,Today is Friday,Neutral
Telugu,lanja munda,You're such a lanja munda,Hate Speech
English,frig,frig bastard,Other
English,shut up,You are a shut up,Harassment / Bullying
Hybrid,hell pooku,You're such a hell pooku,Other
English,,Poor performance,Neutral
Telugu,,Idi chala bagundi,Neutral
English,blowjob,You're such a blowjob,Sexual / Obscene
Hybrid,bellend nee amma dengu,Go bellend nee amma dengu yourself,Abusive / Insult
Telugu,moya,You are a moya,Harassment / Bullying
Hybrid,motherfucker doola lanja,motherfucker doola lanja loser,Sexual / Obscene
Hybrid,twat vedava,This is twat vedava shit,Abusive / Insult
Hybrid,frig chetta,frig chetta loser,Other
English,karen,karen loser,Hate Speech
Hybrid,bollocks bosudi,What a bollocks bosudi,Sexual / Obscene
Telugu,erri pooka,You're such a erri pooka,Sexual / Obscene
Telugu,pandi vedhava,You are a pandi vedhava,Abusive / Insult
Telugu,geviri gaadida,This is geviri gaadida shit,Abusive / Insult
Hybrid,,The book is about science subject,Neutral
English,,I live in Mumbai,Neutral
Hybrid,piss off gudda dengu,What a piss off gudda dengu,Harassment / Bullying
Telugu,doola lanja,You're such a doola lanja,Hate Speech
Telugu,pichchi kukka,This is pichchi kukka shit,Hate Speech
English,,What a wonderful day,Neutral
Telugu,moya,This is moya shit,Harassment / Bullying
Hybrid,tosser picchi,tosser picchi bastard,Other
Hybrid,plonker chetta,You're such a plonker chetta,Other
Hybrid,bigot lanja munda,I hate bigot lanja mundas,Hate Speech
English,kill yourself,What a kill yourself,Harassment / Bullying
Hybrid,idiot gaadida,idiot gaadida bastard,Abusive / Insult
English,stupid,stupid loser,Abusive / Insult
English,troll,What a troll,Harassment / Bullying
Hybrid,prick modda,prick modda bastard,Sexual / Obscene
English,hater,Stop being a hater,Hate Speech
Hybrid,supremacist vedhava,Fucking supremacist vedhava,Hate Speech
English,sexist,You're such a sexist,Hate Speech
Hybrid,homophobe doola lanja,This is homophobe doola lanja shit,Hate Speech
Telugu,lanja munda,Fucking lanja munda,Hate Speech
Telugu,munda,munda loser,Hate Speech
Hybrid,islamophobe erugu,Stop being a islamophobe erugu,Hate Speech
English,piss,What a piss,Other
English,,This is disappointing,Neutral
English,idiot,What a idiot,Abusive / Insult
English,dumbass,dumbass loser,Abusive / Insult
Telugu,picchi,picchi bastard,Other
Hybrid,bigot doola lanja,What a bigot doola lanja,Hate Speech
English,fool,I hate fools,Abusive / Insult
Hybrid,karen kula gajji,karen kula gajji bastard,Hate Speech
Hybrid,,I ate soup for lunch,Neutral
Hybrid,go to hell nee amma dengu,I hate go to hell nee amma dengus,Harassment / Bullying
Hybrid,stupid pichoda,stupid pichoda bastard,Abusive / Insult
Hybrid,,Poor performance idi,Neutral
Hybrid,,I enjoy this {activity} chala,Neutral
Telugu,,Nenu {person} ni appreciate chestunnanu,Neutral
English,plonker,Stop being a plonker,Other
English,incel,You're such a incel,Hate Speech
Hybrid,fuck bosudi,I hate fuck bosudis,Sexual / Obscene
Hybrid,cock pooku,Go cock pooku yourself,Sexual / Obscene
English,cyberbully,Stop being a cyberbully,Harassment / Bullying
Hybrid,asshole gaadida,You are a asshole gaadida,Abusive / Insult
Telugu,chetta na kodaka,Stop being a chetta na kodaka,Abusive / Insult
English,ass,This is ass shit,Sexual / Obscene
Telugu,moya,What a moya,Harassment / Bullying
English,wanker,What a wanker,Abusive / Insult
Telugu,guddha naku,guddha naku bastard,Sexual / Obscene
Hybrid,fucker gudda,fucker gudda bastard,Sexual / Obscene
English,shit,This is shit shit,Sexual / Obscene
Hybrid,piss chetta,This is piss chetta shit,Other
Hybrid,supremacist chetta,What a supremacist chetta,Hate Speech
Hybrid,tosser erugu,Stop being a tosser erugu,Other
English,git,Fucking git,Other
Telugu,gaadida,Fucking gaadida,Abusive / Insult
Hybrid,fuck off moya,fuck off moya bastard,Harassment / Bullying
Hybrid,wanker chetta,This is wanker chetta shit,Other
Hybrid,anti-semite doola lanja,Stop being a anti-semite doola lanja,Hate Speech
Telugu,erugu,erugu bastard,Other
Hybrid,numpty vedhava,numpty vedhava bastard,Other
English,berk,You're such a berk,Other
Hybrid,anti-semite lanja munda,Stop being a anti-semite lanja munda,Hate Speech
Hybrid,,I live in {city} city,Neutral
Hybrid,crap chetta,This is crap chetta shit,Other
English,bellend,bellend loser,Abusive / Insult
Telugu,,Enti oka manchidi roju,Neutral
Hybrid,piss moya,You're such a piss moya,Other
English,wanker,wanker loser,Abusive / Insult
Hybrid,go to hell chavugottu,go to hell chavugottu bastard,Harassment / Bullying
English,nazi,You're such a nazi,Hate Speech
Hybrid,tosser moya,I hate tosser moyas,Other
Hybrid,supremacist doola lanja,I hate supremacist doola lanjas,Hate Speech
English,prick,This is prick shit,Abusive / Insult
English,bugger,What a bugger,Other
English,imbecile,You are a imbecile,Abusive / Insult
Hybrid,dick puku,What a dick puku,Sexual / Obscene
English,piss off,Go piss off yourself,Harassment / Bullying
Telugu,kula gajji,What a kula gajji,Hate Speech
Telugu,chavu,chavu bastard,Harassment / Bullying
English,threat,threat loser,Harassment / Bullying
Telugu,yedava,yedava bastard,Abusive / Insult
Telugu,pandi vedhava,Go pandi vedhava yourself,Abusive / Insult
Telugu,nee amma dengu,You're such a nee amma dengu,Sexual / Obscene
Hybrid,,The movie is thriller type,Neutral
Hybrid,islamophobe kula gajji,What a islamophobe kula gajji,Hate Speech
Hybrid,sod bosudi,sod bosudi loser,Sexual / Obscene
Hybrid,wank pooku,Stop being a wank pooku,Sexual / Obscene
Hybrid,asshole vedhava,asshole vedhava loser,Abusive / Insult
Hybrid,idiot vedava,This is idiot vedava shit,Abusive / Insult
Telugu,nee amma dengu,nee amma dengu loser,Harassment / Bullying
Hybrid,numbskull pichchi,Fucking numbskull pichchi,Abusive / Insult
English,misogynist,I hate misogynists,Hate Speech
Hybrid,tosser vedhava,Stop being a tosser vedhava,Other
Telugu,doola lanja,Fucking doola lanja,Hate Speech
Hybrid,supremacist munda,Stop being a supremacist munda,Hate Speech
English,bloody,I hate bloodys,Other
Telugu,gudda dengu,You are a gudda dengu,Harassment / Bullying
Hybrid,,I went to the the mall today,Neutral
English,homophobe,homophobe loser,Hate Speech
English,wanker,You are a wanker,Other
English,troll,This is troll shit,Harassment / Bullying
Hybrid,misogynist munda,What a misogynist munda,Hate Speech
Telugu,,Nenu cycling dislike chestunnanu,Neutral
Hybrid,arse erugu,You are a arse erugu,Other
English,piss off,Fucking piss off,Harassment / Bullying
Telugu,puku,Go puku yourself,Sexual / Obscene
English,xenophobe,xenophobe loser,Hate Speech
Hybrid,cunt dengu,What a cunt dengu,Sexual / Obscene
Telugu,nee amma dengu,You are a nee amma dengu,Sexual / Obscene
Hybrid,misogynist nee amma,misogynist nee amma bastard,Hate Speech
Hybrid,blowjob gudda,What a blowjob gudda,Sexual / Obscene
English,die,You're such a die,Harassment / Bullying
Hybrid,xenophobe dongana kodaka,You're such a xenophobe dongana kodaka,Hate Speech
Hybrid,twat pichchi kukka,You are a twat pichchi kukka,Abusive / Insult
Hybrid,jerk vedava,You're such a jerk vedava,Abusive / Insult
Hybrid,incel pichchi kukka,Stop being a incel pichchi kukka,Hate Speech
Hybrid,incel munda,What a incel munda,Hate Speech
Hybrid,balls chetta,I hate balls chettas,Other
Hybrid,go to hell gudda dengu,Stop being a go to hell gudda dengu,Harassment / Bullying
English,,I'm happy about {event},Neutral
Hybrid,sexist munda,I hate sexist mundas,Hate Speech
Hybrid,hell erugu,Fucking hell erugu,Other
